ID,LATITUDE,LONGITUDE,Dekat_Sekolah,Dekat_Rumah_Sakit,Dekat_Pasar,Dekat_Rumah_Warga,Fasilitas_Umum_Masyarakat,Dilalui_Kendaraan_Umum,Kepadatan_Jalan,Dekat_Penginapan_Kost,Dekat_PT,Dekat_Rumah_Ibadah,Dekat_Stasiun,Dekat_Bandara,Dekat_Terminal,Kota
305,-6.258833,106.869277,0,0,1,1,1,1,3,1,1,0,0,0,0,Jakarta Selatan
306,-6.301721,106.826236,0,0,0,1,1,1,3,0,1,1,0,0,0,Jakarta Selatan
307,-6.301714,106.821267,1,0,1,1,1,1,3,0,0,0,0,0,0,Jakarta Selatan
308,-6.304628,106.820896,0,0,0,1,1,1,3,1,1,1,0,0,0,Jakarta Selatan
309,-6.304761,106.813977,1,0,0,1,1,1,3,1,1,1,0,0,0,Jakarta Selatan
310,-6.306889,106.813632,1,0,0,1,1,1,3,0,0,0,0,0,0,Jakarta Selatan
311,-6.306822,106.811437,1,0,0,1,1,1,3,1,1,0,0,0,0,Jakarta Selatan
312,-6.30832,106.810897,1,0,0,1,1,0,2,1,1,1,0,0,0,Jakarta Selatan
313,-6.310701,106.806329,0,0,1,1,1,1,3,1,1,0,0,0,0,Jakarta Selatan
314,-6.311343,106.808481,0,0,0,1,1,1,3,0,0,0,0,0,0,Jakarta Selatan
315,-6.301851,106.796652,0,0,0,1,1,1,3,1,1,1,0,0,0,Jakarta Selatan
316,-6.302777,106.798054,0,0,0,1,0,1,2,0,1,1,0,0,0,Jakarta Selatan
317,-6.303349,106.798394,0,0,0,1,0,0,2,1,1,0,0,0,0,Jakarta Selatan
318,-6.30175,106.795088,0,0,0,1,1,1,2,1,1,1,0,0,0,Jakarta Selatan
319,-6.142264,106.735761,0,1,0,0,1,1,2,1,1,1,0,0,0,Jakarta Barat
320,-6.186670114,106.71777438118134,0,0,0,1,1,1,2,0,0,1,0,0,0,Jakarta Barat
321,-6.185690412,106.71778721397769,1,0,0,1,0,1,3,1,0,1,0,0,0,Jakarta Barat
322,-6.142523652,106.81783298342836,0,0,0,1,1,1,3,1,1,0,0,0,0,Jakarta Barat
323,-6.142493836,106.81851376159055,0,0,0,0,0,1,2,0,1,1,0,0,0,Jakarta Barat
324,-6.180753333,106.71293772848257,0,0,0,1,0,0,2,1,1,1,0,0,0,Jakarta Barat
